country,year,vitA
MWI,2026,0.19
MYS,2026,0.02
NAM,2026,0.07
NER,2026,0.22
NGA,2026,0.18
NIC,2026,0.03
NPL,2026,0.11
PAK,2026,0.13
PER,2026,0.07
PHL,2026,0.16
PNG,2026,0.06
PRK,2026,0.09
PRY,2026,0.14
PSE,2026,0.08
RUS,2026,0.01
RWA,2026,0.13
SDN,2026,0.09
SEN,2026,0.21
SLB,2026,0.11
SLE,2026,0.18
SLV,2026,0.09
SOM,2026,0.23
SRB,2026,0.14
SSD,2026,0.21
STP,2026,0.22
SUR,2026,0.05
SWZ,2026,0.13
SYR,2026,0.07
TCD,2026,0.23
TGO,2026,0.21
THA,2026,0.07
TJK,2026,0.12
TKM,2026,0.06
TLS,2026,0.11
TON,2026,0.1
TUN,2026,0.01
TUR,2026,0.07
TUV,2026,0.1
TZA,2026,0.14
UGA,2026,0.15
UKR,2026,0.01
UZB,2026,0.05
VCT,2026,0.05
VEN,2026,0.07
VNM,2026,0.07
VUT,2026,0.15
WSM,2026,0.11
YEM,2026,0.16
ZAF,2026,0.13
ZMB,2026,0.18
ZWE,2026,0.15
AFG,2027,0.14
AGO,2027,0.13
ALB,2027,0.15
ARG,2027,0.05
ARM,2027,0
AZE,2027,0.06
BDI,2027,0.16
BEN,2027,0.23
BFA,2027,0.22
BGD,2027,0.08
BGR,2027,0.13
BIH,2027,0.13
BLR,2027,0.01
BLZ,2027,0.04
BOL,2027,0.05
BRA,2027,0.13
BTN,2027,0.1
BWA,2027,0.13
CAF,2027,0.21
CHN,2027,0.05
CIV,2027,0.19
CMR,2027,0.21
COD,2027,0.21
COG,2027,0.22
COL,2027,0.04
COM,2027,0.19
CPV,2027,0.01
CRI,2027,0.04
CUB,2027,0.02
DJI,2027,0.05
DMA,2027,0.04
DOM,2027,0.06
DZA,2027,0.04
ECU,2027,0.08
EGY,2027,0.03
ERI,2027,0.18
ETH,2027,0.26
FJI,2027,0.08
FSM,2027,0.17
GAB,2027,0.11
GEO,2027,0.06
GHA,2027,0.21
GIN,2027,0.19
GMB,2027,0.21
GNB,2027,0.26
GNQ,2027,0.12
GRD,2027,0.05
GTM,2027,0.06
GUY,2027,0.06
HND,2027,0.05
HTI,2027,0.13
IDN,2027,0.15
IND,2027,0.19
IRN,2027,0.02
IRQ,2027,0.08
JAM,2027,0.03
JOR,2027,0.08
KAZ,2027,0.12
KEN,2027,0.23
KGZ,2027,0.07
KHM,2027,0.09
KIR,2027,0.19
LAO,2027,0.14
LBN,2027,0.04
LBR,2027,0.17
LBY,2027,0.04
LCA,2027,0.04
LKA,2027,0.09
LSO,2027,0.2
MAR,2027,0.11
MDA,2027,0.01
MDG,2027,0.18
MDV,2027,0.04
MEX,2027,0.12
MHL,2027,0.17
MKD,2027,0.12
MLI,2027,0.21
MMR,2027,0.09
MNE,2027,0.12
MNG,2027,0.11
MOZ,2027,0.2
MRT,2027,0.17
MWI,2027,0.19
MYS,2027,0.02
NAM,2027,0.07
NER,2027,0.22
NGA,2027,0.18
NIC,2027,0.03
NPL,2027,0.11
PAK,2027,0.13
PER,2027,0.07
PHL,2027,0.16
PNG,2027,0.06
PRK,2027,0.09
PRY,2027,0.14
PSE,2027,0.08
RUS,2027,0.01
RWA,2027,0.13
SDN,2027,0.09
SEN,2027,0.21
SLB,2027,0.11
SLE,2027,0.18
SLV,2027,0.09
SOM,2027,0.23
SRB,2027,0.14
SSD,2027,0.21
STP,2027,0.22
SUR,2027,0.05
SWZ,2027,0.13
SYR,2027,0.07
TCD,2027,0.23
TGO,2027,0.21
THA,2027,0.07
TJK,2027,0.12
TKM,2027,0.06
TLS,2027,0.11
TON,2027,0.1
TUN,2027,0.01
TUR,2027,0.07
TUV,2027,0.1
TZA,2027,0.14
UGA,2027,0.15
UKR,2027,0.01
UZB,2027,0.05
VCT,2027,0.05
VEN,2027,0.07
VNM,2027,0.07
VUT,2027,0.15
WSM,2027,0.11
YEM,2027,0.16
ZAF,2027,0.13
ZMB,2027,0.18
ZWE,2027,0.15
AFG,2028,0.14
AGO,2028,0.13
ALB,2028,0.15
ARG,2028,0.05
ARM,2028,0
AZE,2028,0.06
BDI,2028,0.16
BEN,2028,0.23
BFA,2028,0.22
BGD,2028,0.08
BGR,2028,0.13
BIH,2028,0.13
BLR,2028,0.01
BLZ,2028,0.04
BOL,2028,0.05
BRA,2028,0.13
BTN,2028,0.1
BWA,2028,0.13
CAF,2028,0.21
CHN,2028,0.05
CIV,2028,0.19
CMR,2028,0.21
COD,2028,0.21
COG,2028,0.22
COL,2028,0.04
COM,2028,0.19
CPV,2028,0.01
CRI,2028,0.04
CUB,2028,0.02
DJI,2028,0.05
DMA,2028,0.04
DOM,2028,0.06
DZA,2028,0.04
ECU,2028,0.08
EGY,2028,0.03
ERI,2028,0.18
ETH,2028,0.26
FJI,2028,0.08
FSM,2028,0.17
GAB,2028,0.11
GEO,2028,0.06
GHA,2028,0.21
GIN,2028,0.19
GMB,2028,0.21
GNB,2028,0.26
GNQ,2028,0.12
GRD,2028,0.05
GTM,2028,0.06
GUY,2028,0.06
HND,2028,0.05
HTI,2028,0.13
IDN,2028,0.15
IND,2028,0.19
IRN,2028,0.02
IRQ,2028,0.08
JAM,2028,0.03
JOR,2028,0.08
KAZ,2028,0.12
KEN,2028,0.23
KGZ,2028,0.07
KHM,2028,0.09
KIR,2028,0.19
LAO,2028,0.14
LBN,2028,0.04
LBR,2028,0.17
LBY,2028,0.04
LCA,2028,0.04
LKA,2028,0.09
LSO,2028,0.2
MAR,2028,0.11
MDA,2028,0.01
MDG,2028,0.18
MDV,2028,0.04
MEX,2028,0.12
MHL,2028,0.17
MKD,2028,0.12
MLI,2028,0.21
MMR,2028,0.09
MNE,2028,0.12
MNG,2028,0.11
MOZ,2028,0.2
MRT,2028,0.17
MWI,2028,0.19
MYS,2028,0.02
NAM,2028,0.07
NER,2028,0.22
NGA,2028,0.18
NIC,2028,0.03
NPL,2028,0.11
PAK,2028,0.13
PER,2028,0.07
PHL,2028,0.16
PNG,2028,0.06
PRK,2028,0.09
PRY,2028,0.14
PSE,2028,0.08
RUS,2028,0.01
RWA,2028,0.13
SDN,2028,0.09
SEN,2028,0.21
SLB,2028,0.11
SLE,2028,0.18
SLV,2028,0.09
SOM,2028,0.23
SRB,2028,0.14
SSD,2028,0.21
STP,2028,0.22
SUR,2028,0.05
SWZ,2028,0.13
SYR,2028,0.07
TCD,2028,0.23
TGO,2028,0.21
THA,2028,0.07
TJK,2028,0.12
TKM,2028,0.06
TLS,2028,0.11
TON,2028,0.1
TUN,2028,0.01
TUR,2028,0.07
TUV,2028,0.1
TZA,2028,0.14
UGA,2028,0.15
UKR,2028,0.01
UZB,2028,0.05
VCT,2028,0.05
VEN,2028,0.07
VNM,2028,0.07
VUT,2028,0.15
WSM,2028,0.11
YEM,2028,0.16
ZAF,2028,0.13
ZMB,2028,0.18
ZWE,2028,0.15
AFG,2029,0.14
AGO,2029,0.13
ALB,2029,0.15
ARG,2029,0.05
ARM,2029,0
AZE,2029,0.06
BDI,2029,0.16
BEN,2029,0.23
BFA,2029,0.22
BGD,2029,0.08
BGR,2029,0.13
BIH,2029,0.13
BLR,2029,0.01
BLZ,2029,0.04
BOL,2029,0.05
BRA,2029,0.13
BTN,2029,0.1
BWA,2029,0.13
CAF,2029,0.21
CHN,2029,0.05
CIV,2029,0.19
CMR,2029,0.21
COD,2029,0.21
COG,2029,0.22
COL,2029,0.04
COM,2029,0.19
CPV,2029,0.01
CRI,2029,0.04
CUB,2029,0.02
DJI,2029,0.05
DMA,2029,0.04
DOM,2029,0.06
DZA,2029,0.04
ECU,2029,0.08
EGY,2029,0.03
ERI,2029,0.18
ETH,2029,0.26
FJI,2029,0.08
FSM,2029,0.17
GAB,2029,0.11
GEO,2029,0.06
GHA,2029,0.21
GIN,2029,0.19
GMB,2029,0.21
GNB,2029,0.26
GNQ,2029,0.12
GRD,2029,0.05
GTM,2029,0.06
GUY,2029,0.06
HND,2029,0.05
HTI,2029,0.13
IDN,2029,0.15
IND,2029,0.19
IRN,2029,0.02
IRQ,2029,0.08
JAM,2029,0.03
JOR,2029,0.08
KAZ,2029,0.12
KEN,2029,0.23
KGZ,2029,0.07
KHM,2029,0.09
KIR,2029,0.19
LAO,2029,0.14
LBN,2029,0.04
LBR,2029,0.17
LBY,2029,0.04
LCA,2029,0.04
LKA,2029,0.09
LSO,2029,0.2
MAR,2029,0.11
MDA,2029,0.01
MDG,2029,0.18
MDV,2029,0.04
MEX,2029,0.12
